origin,destination,avg_risk,max_risk,segments
AER,KZN,0.0,0.0,31
ASF,KZN,0.0,0.0,21
ASF,MRV,0.0,0.0,9
CEK,KZN,0.0,0.0,16
CEK,OVB,0.0,0.0,27
DME,KZN,0.0,0.0,15
DME,NBC,0.0,0.0,18
DME,TGK,0.0,0.0,19
DME,UUA,0.0,0.0,20
EGO,KGD,0.0,0.0,24
EGO,KZN,0.0,0.0,21
GYD,NBC,0.0,0.0,34
KGD,EGO,0.0,0.0,24
KZN,AER,0.0,0.0,31
KZN,ASF,0.0,0.0,21
KZN,CEK,0.0,0.0,16
KZN,DME,0.0,0.0,15
KZN,EGO,0.0,0.0,21
KZN,LED,0.0,0.0,25
KZN,SVX,0.0,0.0,15
LED,KZN,0.0,0.0,25
LED,NBC,0.0,0.0,28
LED,UUA,0.0,0.0,30
MRV,ASF,0.0,0.0,9
NBC,DME,0.0,0.0,18
NBC,GYD,0.0,0.0,34
NBC,LED,0.0,0.0,28
NBC,SVX,0.0,0.0,12
NJC,SVX,0.0,0.0,21
NJC,UUA,0.0,0.0,32
NUX,SVX,0.0,0.0,27
OVB,CEK,0.0,0.0,27
OVB,SVX,0.0,0.0,28
SVX,KZN,0.0,0.0,15
SVX,NBC,0.0,0.0,12
SVX,NJC,0.0,0.0,21
SVX,NUX,0.0,0.0,27
SVX,OVB,0.0,0.0,28
TGK,DME,0.0,0.0,19
UUA,DME,0.0,0.0,20
UUA,LED,0.0,0.0,30
UUA,NJC,0.0,0.0,32
BTK,IKT,0.0,0.0,10
BTK,OVB,0.0,0.0,24
CEK,OVB,0.0,0.0,27
HTA,IKT,0.0,0.0,13
IKT,BTK,0.0,0.0,10
IKT,HTA,0.0,0.0,13
IKT,KCK,0.0,0.0,14
IKT,ODO,0.0,0.0,18
IKT,OVB,0.0,0.0,30
IKT,UKX,0.0,0.0,11
IKT,ULK,0.0,0.0,23
IKT,YKS,0.0,0.0,38
KCK,IKT,0.0,0.0,14
MJZ,OVB,0.0,0.0,40
ODO,IKT,0.0,0.0,18
OVB,BTK,0.0,0.0,24
OVB,CEK,0.0,0.0,27
OVB,IKT,0.0,0.0,30
UKX,IKT,0.0,0.0,11
ULK,IKT,0.0,0.0,23
YKS,IKT,0.0,0.0,38
AYP,LIM,0.0,0.0,7
CUZ,LIM,0.0,0.0,12
CUZ,PEM,0.0,0.0,7
HUU,LIM,0.0,0.0,6
IQT,PCL,0.0,0.0,11
IQT,TPP,0.0,0.0,10
LIM,AYP,0.0,0.0,7
LIM,CUZ,0.0,0.0,12
LIM,HUU,0.0,0.0,6
LIM,PCL,0.0,0.0,10
LIM,TPP,0.0,0.0,13
PCL,IQT,0.0,0.0,11
PCL,LIM,0.0,0.0,10
PCL,TPP,0.0,0.0,6
PEM,CUZ,0.0,0.0,7
TPP,IQT,0.0,0.0,10
TPP,LIM,0.0,0.0,13
TPP,PCL,0.0,0.0,6
ABJ,BOY,0.0,0.0,14
ABJ,OUA,0.0,0.0,17
ACC,OUA,0.0,0.0,16
BKO,ABJ,0.0,0.0,19
BKO,DKR,0.0,0.0,22
BKO,OUA,0.0,0.0,14
BOY,ABJ,0.0,0.0,14
BOY,OUA,0.0,0.0,7
COO,LFW,0.0,0.0,3
COO,OUA,0.0,0.0,16
DKR,BKO,0.0,0.0,22
DKR,OUA,0.0,0.0,35
LFW,OUA,0.0,0.0,16
NIM,OUA,0.0,0.0,9
OUA,ABJ,0.0,0.0,17
OUA,ACC,0.0,0.0,16
OUA,BKO,0.0,0.0,14
OUA,BOY,0.0,0.0,7
OUA,COO,0.0,0.0,16
OUA,DKR,0.0,0.0,35
OUA,LFW,0.0,0.0,16
OUA,NIM,0.0,0.0,9
BOG,GYE,0.0,0.0,20
BOG,UIO,0.0,0.0,15
CLO,GYE,0.0,0.0,15
GYE,BOG,0.0,0.0,20
GYE,CLO,0.0,0.0,15
GYE,SCY,0.0,0.0,22
GYE,UIO,0.0,0.0,6
OCC,UIO,0.0,0.0,4
SCY,GYE,0.0,0.0,22
UIO,BOG,0.0,0.0,15
UIO,GYE,0.0,0.0,6
UIO,OCC,0.0,0.0,4
BDS,ZRH,0.0,0.0,22
BOD,ZRH,0.0,0.0,16
BRS,ZRH,0.0,0.0,19
GVA,LPA,0.0,0.0,56
LCA,ZRH,0.0,0.0,51
LPA,ZRH,0.0,0.0,61
RMF,ZRH,0.0,0.0,67
TFS,GVA,0.0,0.0,57
ZRH,BDS,0.0,0.0,22
ZRH,BOD,0.0,0.0,16
ZRH,BRS,0.0,0.0,19
ZRH,LCA,0.0,0.0,51
ZRH,LPA,0.0,0.0,61
ZRH,RMF,0.0,0.0,67
AJR,LYC,0.0,0.0,3
ARN,GEV,0.0,0.0,17
ARN,HAD,0.0,0.0,9
ARN,JKG,0.0,0.0,7
ARN,KRF,0.0,0.0,8
ARN,KSD,0.0,0.0,6
ARN,LYC,0.0,0.0,11
ARN,MHQ,0.0,0.0,3
ARN,OER,0.0,0.0,9
ARN,POR,0.0,0.0,6
ARN,TRF,0.0,0.0,9
ARN,VBY,0.0,0.0,5
ARN,VHM,0.0,0.0,12
ARN,VXO,0.0,0.0,8
GEV,ARN,0.0,0.0,17
GEV,KRF,0.0,0.0,10
HAD,ARN,0.0,0.0,9
HAD,JKG,0.0,0.0,3
HAD,VXO,0.0,0.0,3
HMV,VHM,0.0,0.0,4
JKG,ARN,0.0,0.0,7
JKG,HAD,0.0,0.0,3
KOK,POR,0.0,0.0,6
KRF,ARN,0.0,0.0,8
KRF,GEV,0.0,0.0,10
KSD,ARN,0.0,0.0,6
LYC,AJR,0.0,0.0,3
LYC,ARN,0.0,0.0,11
MHQ,ARN,0.0,0.0,3
MHQ,TKU,0.0,0.0,3
OER,ARN,0.0,0.0,9
OSL,VXO,0.0,0.0,9
POR,ARN,0.0,0.0,6
POR,KOK,0.0,0.0,6
TKU,MHQ,0.0,0.0,3
TRF,ARN,0.0,0.0,9
VBY,ARN,0.0,0.0,5
VHM,ARN,0.0,0.0,12
VHM,HMV,0.0,0.0,4
VXO,ARN,0.0,0.0,8
VXO,OSL,0.0,0.0,9
ADQ,KLN,0.0,0.0,2
KLN,KYK,0.0,0.0,2
BSO,MNL,0.0,0.0,14
BXU,MNL,0.0,0.0,16
CBO,MNL,0.0,0.0,18
CGY,MNL,0.0,0.0,16
CRM,MNL,0.0,0.0,10
DGT,MNL,0.0,0.0,13
DWC,MNL,0.0,0.0,139
GES,MNL,0.0,0.0,21
KLO,MNL,0.0,0.0,7
LGP,MNL,0.0,0.0,7
MNL,BSO,0.0,0.0,14
MNL,BXU,0.0,0.0,16
MNL,CBO,0.0,0.0,18
MNL,CGY,0.0,0.0,16
MNL,CRM,0.0,0.0,10
MNL,DGT,0.0,0.0,13
MNL,DWC,0.0,0.0,139
MNL,GES,0.0,0.0,21
MNL,KLO,0.0,0.0,7
MNL,LGP,0.0,0.0,7
MNL,MPH,0.0,0.0,7
MNL,OZC,0.0,0.0,16
MNL,PPS,0.0,0.0,12
MNL,RXS,0.0,0.0,8
MNL,SUG,0.0,0.0,15
MNL,TUG,0.0,0.0,8
MNL,ZAM,0.0,0.0,18
MPH,MNL,0.0,0.0,7
OZC,MNL,0.0,0.0,16
PPS,MNL,0.0,0.0,12
RXS,MNL,0.0,0.0,8
SUG,MNL,0.0,0.0,15
TUG,MNL,0.0,0.0,8
ZAM,MNL,0.0,0.0,18
AUX,PMW,0.0,0.0,7
BRA,BSB,0.0,0.0,11
BRA,SSA,0.0,0.0,15
BSB,BRA,0.0,0.0,11
BSB,OPS,0.0,0.0,19
BSB,RAO,0.0,0.0,12
CAC,GRU,0.0,0.0,15
CGB,GYN,0.0,0.0,15
CGB,OPS,0.0,0.0,9
CGR,DOU,0.0,0.0,4
DOU,CGR,0.0,0.0,4
DOU,GRU,0.0,0.0,18
GIG,RAO,0.0,0.0,11
GRU,CAC,0.0,0.0,15
GRU,DOU,0.0,0.0,18
GRU,RAO,0.0,0.0,6
GRU,UBA,0.0,0.0,9
GRU,UDI,0.0,0.0,11
GRU,VDC,0.0,0.0,23
GYN,CGB,0.0,0.0,15
GYN,PMW,0.0,0.0,15
GYN,RAO,0.0,0.0,11
GYN,UDI,0.0,0.0,6
OPS,BSB,0.0,0.0,19
OPS,CGB,0.0,0.0,9
PLU,RAO,0.0,0.0,9
PMW,AUX,0.0,0.0,7
PMW,GYN,0.0,0.0,15
RAO,BSB,0.0,0.0,12
RAO,GIG,0.0,0.0,11
RAO,GRU,0.0,0.0,6
RAO,GYN,0.0,0.0,11
RAO,PLU,0.0,0.0,9
RAO,SJP,0.0,0.0,4
RAO,UDI,0.0,0.0,6
SJP,RAO,0.0,0.0,4
SSA,BRA,0.0,0.0,15
SSA,VDC,0.0,0.0,7
UBA,GRU,0.0,0.0,9
UBA,UDI,0.0,0.0,3
UDI,GRU,0.0,0.0,11
UDI,GYN,0.0,0.0,6
UDI,RAO,0.0,0.0,6
UDI,UBA,0.0,0.0,3
VDC,GRU,0.0,0.0,23
VDC,SSA,0.0,0.0,7
BRL,ORD,0.0,0.0,6
BRL,STL,0.0,0.0,5
DEC,ORD,0.0,0.0,6
DEC,STL,0.0,0.0,4
JBR,STL,0.0,0.0,7
ORD,BRL,0.0,0.0,6
ORD,DEC,0.0,0.0,6
STL,BRL,0.0,0.0,5
STL,DEC,0.0,0.0,4
STL,JBR,0.0,0.0,7
KTN,MTM,0.0,0.0,2
MTM,KTN,0.0,0.0,2
ACC,DKR,0.0,0.0,43
ACC,LOS,0.0,0.0,9
ACC,ROB,0.0,0.0,23
BCN,BJL,0.0,0.0,72
BJL,BCN,0.0,0.0,72
BJL,DKR,0.0,0.0,4
BJL,FNA,0.0,0.0,13
CKY,OXB,0.0,0.0,7
DKR,ACC,0.0,0.0,43
DKR,BJL,0.0,0.0,4
DKR,DLA,0.0,0.0,65
DKR,FNA,0.0,0.0,17
DKR,LOS,0.0,0.0,49
DKR,OXB,0.0,0.0,8
DLA,DKR,0.0,0.0,65
DLA,LOS,0.0,0.0,16
FNA,BJL,0.0,0.0,13
FNA,DKR,0.0,0.0,17
FNA,LGW,0.0,0.0,98
FNA,ROB,0.0,0.0,9
LGW,FNA,0.0,0.0,98
LOS,ACC,0.0,0.0,9
LOS,DKR,0.0,0.0,49
LOS,DLA,0.0,0.0,16
LOS,ROB,0.0,0.0,31
OXB,CKY,0.0,0.0,7
OXB,DKR,0.0,0.0,8
ROB,ACC,0.0,0.0,23
ROB,FNA,0.0,0.0,9
ROB,LOS,0.0,0.0,31
AKV,YIK,0.0,0.0,4
AKV,YPX,0.0,0.0,2
XGR,YVP,0.0,0.0,4
YGL,YGW,0.0,0.0,4
YGL,YPX,0.0,0.0,15
YGL,YUL,0.0,0.0,20
